GND_Code,GND_Name,Population,occupied_housing_units,area_km2,population_density_km2,housing_density_km2,vulnerable_population_share,critical_amenity_count,critical_infrastructure_density_km2,susceptibility_mean,susceptibility_p90,susceptibility_score,exposure_score,risk_score,risk_class,risk_rank,sensitivity_class_stability,sensitivity_score_p05,sensitivity_score_p95
015,Haldummulla,1692,455.0,3.5924580470929985,470.98671099838145,126.65422783939927,0.32742316784869974,0,0.0,52.96849943623152,62.77068328857422,56.8893729771686,66.09674081402368,59.50806333142785,Very High,1,1.0,57.74915830940628,61.08226455128791
020,Beragala,2754,750.0,5.74694558454907,479.21107995249804,130.50410674087638,0.34822076978939726,0,0.0,50.146305037605764,61.1568489074707,54.55052258555174,70.73439877586031,58.97235086043745,Very High,2,1.0,57.13054110111693,60.604176995448526
120,Watagamuwa,1242,362.0,1.7134423703729789,724.8565936475843,211.27060136910268,0.3526570048309179,0,0.0,44.421928453947366,54.289695739746094,48.36903536826686,79.96654864446869,56.2431587964823,Very High,3,1.0,53.72486627192755,58.40682557758015
055,Koslanda,2361,667.0,6.837712021502395,345.29093833952317,97.54724941654467,0.33672172808132145,0,0.0,53.011475895679666,63.93810272216797,57.38212662627498,51.858970350520494,55.66610244981073,Very High,4,1.0,54.10267713059509,57.09362838696462
065,Poonagala,4050,1070.0,12.94091387607499,312.9608958674543,82.68349594522867,0.33728395061728395,3,0.23182288582774396,51.162119421659945,61.70588684082031,55.37962638932409,50.94878702329256,54.011367066477746,Very High,5,1.0,52.377351285197044,55.43690761758081
125,Walhaputhenna,711,203.0,3.441670023863816,206.58575490098573,58.982993312095786,0.33755274261603374,3,0.8716698519028934,51.1697187009932,62.75518035888672,55.803903364150614,48.564516993244155,53.52552388845984,Very High,6,1.0,51.79550095831347,55.06231008107345
035,Nikapotha East,750,210.0,1.5910285991851216,471.3931606157979,131.9900849724234,0.3586666666666667,1,0.6285242141543972,39.895671583850934,49.72379684448242,43.826921688103525,83.61063760346899,53.19822451964512,Very High,7,0.996,49.924518758162876,55.9921842754766
025,Viharagala,2767,746.0,8.202417429609994,337.3395738201981,90.94879727859333,0.33032164799421754,1,0.12191527785334227,49.228400735294116,60.5993766784668,53.77679111256319,51.306085636207555,53.02334029572804,Very High,8,0.996,50.40272189590693,55.20117500072932
080,Ampitithenna,1254,270.0,3.7975372952316415,330.2140051592327,71.09870924481088,0.3843700159489633,3,0.7899856582756764,41.30549300782176,52.75700759887695,45.88609884424383,68.22001007404651,51.68331111778585,Very High,9,0.974,49.607353131840945,53.67619000597581
140,Seelathenna,643,203.0,2.6915095492028995,238.89939390719488,75.42235919620616,0.359253499222395,0,0.0,50.580910690348524,61.428810119628906,54.92007046206068,42.54678128716844,50.87117551300045,Very High,10,0.978,49.42331828379609,52.19986437364342
010,Kalupahana,860,274.0,5.970309142483941,144.0461422475349,45.89377090212159,0.3325581395348837,0,0.0,60.322927666314676,70.16177368164062,64.25846607244506,25.200485411658324,48.52593585665106,High,11,0.992,47.08633483835235,49.71620242795281
110,Soragune,627,159.0,1.3881628972979263,451.67609739495424,114.53987158819413,0.3317384370015949,1,0.7203765508691455,37.52135180995475,43.47906494140625,39.90443706253535,76.41162490831385,48.49116995218824,High,12,0.958,45.69477197749347,51.27040977969119
115,Kithulgahaarawa,601,176.0,1.4821464052952278,405.49300518007004,118.74670368002052,0.3161397670549085,0,0.0,41.930421401515154,48.859195709228516,44.7019311246005,57.369811825718756,48.17629828960639,High,13,0.994,45.36260762856166,50.84469852161611
060,Mahakanda,885,234.0,3.8676446556085478,228.82143495696897,60.50193873438502,0.31864406779661014,0,0.0,52.3730250929368,61.08729934692383,55.858734794531614,32.74367957715293,47.58849943376391,High,14,1.0,46.24218994833767,48.82805160219866
050,Kotabakma,1536,451.0,6.04350972667102,254.1569500949713,74.62551073752087,0.3424479166666667,0,0.0,43.777808779761905,58.688785552978516,49.742199489048545,41.06667848324168,46.96284114324782,High,15,1.0,46.136452062103125,47.866201474463395
130,Uvathenna,644,190.0,5.574766992657936,115.52052325203172,34.08214195323917,0.3385093167701863,0,0.0,57.58187953263497,70.00935363769531,62.55286917465911,21.689422408142324,45.524738554353625,High,16,1.0,44.01380623026827,46.83009673560343
135,Marangahawela,436,127.0,3.1244075481837124,139.54645585639315,40.647706178353054,0.33256880733944955,0,0.0,54.95567804561201,64.67854309082031,58.844824063695334,23.924890767613633,44.921140829431735,High,17,0.928,42.33636668888593,47.19241731142168
005,Weerakongama,850,267.0,14.199701243105821,59.86041434587847,18.80321250629359,0.34941176470588237,1,0.07042401687750408,62.71061426851676,74.47041320800781,67.41453384431318,17.352802705394847,44.868170733249585,High,18,0.908,43.54028481394985,46.08552713804551
145,Harankahawa,691,183.0,2.9997250567254707,230.35444480178538,61.00559102565373,0.3516642547033285,0,0.0,42.99062218806239,51.1974983215332,46.27337264145072,38.166907372761294,43.675501382640185,High,19,0.864,41.42576320864077,45.8157536709934
150,Medawela,483,143.0,1.461892522022052,330.3936457188569,97.81840856686652,0.3747412008281574,0,0.0,36.15487896397783,42.145015716552734,38.55093366500779,56.6253457602373,43.26410167346266,Moderate,20,0.716,40.50279080318649,45.86177580957619
045,Ranasinghegama,739,215.0,8.70909508963948,84.85382148130749,24.686835748959552,0.36671177266576455,0,0.0,47.444511217948715,61.77835464477539,53.17804858867939,21.9146472537692,40.75989183994006,Moderate,21,0.986,39.68715777076127,41.6976120179111
100,Manthenna,611,194.0,3.7827276033201267,161.52365807776405,51.285744135984004,0.3649754500818331,0,0.0,40.43049684448678,47.57490921020508,43.2882617907741,32.724149763840515,39.80334900668491,Moderate,22,0.998,38.41288857703657,41.284978765413655
155,Welibissa,366,117.0,2.5972060050080232,140.920666013503,45.04840962726735,0.35792349726775957,0,0.0,40.19020068410114,52.49187088012695,45.11086876251147,28.788765421463424,39.42427776412608,Moderate,23,1.0,37.94801879145062,40.65079630739704
105,Amilagama,619,195.0,3.416559271110409,181.17642659798494,57.07496476026989,0.3473344103392569,0,0.0,38.99635114654718,46.68757629394531,42.072841205506435,32.60858798802823,38.97632490297606,Moderate,24,1.0,37.737996092655784,40.27868331248848
030,Nikapotha West,330,105.0,2.3398880709214005,141.03238701928709,44.873941324318615,0.34545454545454546,0,0.0,38.516041706638525,50.98480224609375,43.503545922420614,26.802620982589186,37.62014278570928,Moderate,25,1.0,35.49444960159504,39.46944961127263
070,Divulgasmulla,1647,472.0,12.738042910251888,129.29772741418967,37.05435782604586,0.34790528233151186,1,0.07850499539416496,34.6204580415871,51.63068771362305,41.42454991040148,26.309614990948578,36.15054147572568,Moderate,26,0.998,34.44308814961856,37.56080232801771
095,Kirawanagama,816,240.0,6.183814231585305,131.9573922243792,38.8109977130527,0.3382352941176471,1,0.1617124904710529,37.37502726876091,46.3896484375,40.98087573625655,26.852898875808485,36.09975190621778,Moderate,27,1.0,34.939478180901794,37.1023893860773
075,Gampaha,1547,436.0,8.594430975156182,180.00028209801138,50.73052552988556,0.3374272786037492,1,0.11635441635294855,31.014386063684928,40.683082580566406,34.88186467043752,32.02250861102478,33.99823647636134,Moderate,28,1.0,32.72465668238225,35.2230572386225
085,Kelipanawela,488,132.0,5.636505360760385,86.5784681759208,23.418765982011365,0.38524590163934425,0,0.0,33.67187250598563,42.3919677734375,37.15991061296638,24.663874706166705,32.860234177255386,Moderate,29,0.924,31.87664424548394,33.87224461337048
090,Moraketiya,606,167.0,5.840322702025928,103.76138972419913,28.594310369540025,0.334983498349835,0,0.0,36.6643600616808,45.59951400756836,40.238421640035824,19.194069870942112,32.22543417878235,Low,30,0.986,30.940730590893477,33.44519990800942
160,We Eliya,734,216.0,16.88072034232701,43.481556776908135,12.795662484757708,0.3460490463215259,0,0.0,42.26231600981281,55.100433349609375,47.39756294573144,13.094751706561098,32.22243741331158,Low,31,0.936,31.446785213154936,32.95629268596605
040,Lemasthota,323,93.0,6.3979492165098115,50.48492713360453,14.535907812461984,0.35294117647058826,0,0.0,37.181607921767274,48.698524475097656,41.78837454309942,15.076587086028779,30.777245387784436,Low,32,1.0,30.320317576481198,31.22443591572025
170,Ranwanguhawa,399,114.0,11.30737453098468,35.28670593749705,10.081915982142014,0.3383458646616541,0,0.0,36.19398078147382,46.20421600341797,40.198074870251475,10.717517298209726,27.03783642286585,Low,33,1.0,26.477318541468367,27.53521490994403
